kind,value,file,line
url_for,turma_grupos_catalogo,templates/trabalhos/mapa.html,6
href,{{ url_for(,templates/trabalhos/mapa.html,6
url_for,trabalho_detail,templates/trabalhos/mapa.html,62
href,{{ url_for(,templates/trabalhos/mapa.html,62
url_for,trabalho_detail,templates/trabalhos/edit.html,5
href,{{ url_for(,templates/trabalhos/edit.html,5
url_for,turma_trabalhos,templates/trabalhos/edit.html,6
href,{{ url_for(,templates/trabalhos/edit.html,6
url_for,trabalho_edit,templates/trabalhos/edit.html,12
action,{{ url_for(,templates/trabalhos/edit.html,12
url_for,turma_trabalhos,templates/trabalhos/list.html,12
url_for,turma_calendario,templates/trabalhos/list.html,23
href,{{ url_for(,templates/trabalhos/list.html,23
url_for,turma_grupos_catalogo,templates/trabalhos/list.html,24
href,{{ url_for(,templates/trabalhos/list.html,24
url_for,turma_trabalhos_mapa,templates/trabalhos/list.html,25
href,{{ url_for(,templates/trabalhos/list.html,25
url_for,trabalho_detail,templates/trabalhos/list.html,65
href,{{ url_for(,templates/trabalhos/list.html,65
url_for,trabalho_edit,templates/trabalhos/list.html,66
href,{{ url_for(,templates/trabalhos/list.html,66
url_for,trabalho_delete,templates/trabalhos/list.html,67
action,{{ url_for(,templates/trabalhos/list.html,67
url_for,turma_trabalhos,templates/trabalhos/catalogo_grupos.html,4
href,{{ url_for(,templates/trabalhos/catalogo_grupos.html,4
url_for,turma_grupos_catalogo,templates/trabalhos/catalogo_grupos.html,39
action,{{ url_for(,templates/trabalhos/catalogo_grupos.html,39
url_for,turma_grupo_catalogo_delete,templates/trabalhos/catalogo_grupos.html,67
action,{{ url_for(,templates/trabalhos/catalogo_grupos.html,67
url_for,turma_grupo_remove_membro,templates/trabalhos/catalogo_grupos.html,140
url_for,turma_trabalhos,templates/trabalhos/detail.html,7
href,{{ url_for(,templates/trabalhos/detail.html,7
url_for,trabalho_edit,templates/trabalhos/detail.html,8
href,{{ url_for(,templates/trabalhos/detail.html,8
url_for,trabalho_importar_grupos_turma,templates/trabalhos/detail.html,10
action,{{ url_for(,templates/trabalhos/detail.html,10
url_for,trabalho_add_parametro,templates/trabalhos/detail.html,21
action,{{ url_for(,templates/trabalhos/detail.html,21
url_for,trabalho_add_grupo,templates/trabalhos/detail.html,40
action,{{ url_for(,templates/trabalhos/detail.html,40
url_for,trabalho_save_entrega,templates/trabalhos/detail.html,203
url_for,trabalho_remove_membro_grupo,templates/trabalhos/detail.html,293
