rule,methods,endpoint,blueprint,template_ref_count,js_ref_count,python_ref_count,has_redirect_in,classification,action
/direcao-turma/<int:dt_id>/ocorrencias/<int:oc_id>/edit,GET|POST,direcao_turma_ocorrencias_edit,,1,0,0,0,OK_UI,manter
/direcao-turma/<int:dt_id>/ocorrencias/export/csv,GET,direcao_turma_ocorrencias_export_csv,,1,0,0,0,OK_UI,manter
/direcao-turma/<int:dt_id>/ocorrencias/new,GET|POST,direcao_turma_ocorrencias_new,,1,0,0,0,OK_UI,manter
/direcao-turma/add,GET|POST,direcao_turma_add,,2,0,3,0,OK_UI,manter
/dt-disciplinas,GET,dt_disciplinas_list,,3,0,5,0,OK_UI,manter
/dt-disciplinas/<int:disciplina_id>/delete,POST,dt_disciplinas_delete,,2,0,0,0,OK_UI,manter
/dt-disciplinas/<int:disciplina_id>/edit,GET|POST,dt_disciplinas_edit,,3,0,2,0,OK_UI,manter
/dt-disciplinas/new,GET|POST,dt_disciplinas_new,,3,0,4,0,OK_UI,manter
/health/db,GET,api_health_db,,0,0,2,0,INTERNAL,documentar_interno
/health/db-write,GET,api_health_db_write,,0,0,1,0,INTERNAL,documentar_interno
/livros,GET,livros_list,,3,0,2,0,OK_UI,manter
/livros/<int:livro_id>,GET,livros_detail,,1,0,5,0,OK_UI,manter
/livros/<int:livro_id>/delete,POST,livros_delete,,2,0,0,0,OK_UI,manter
/livros/<int:livro_id>/editar,GET|POST,livros_edit,,2,0,0,0,OK_UI,manter
/livros/<int:livro_id>/gerar,POST,livros_gerar,,1,0,0,0,OK_UI,manter
/livros/novo,GET|POST,livros_new,,1,0,1,0,OK_UI,manter
/offline/,GET,offline.dashboard,offline,5,0,4,1,OK_UI,manter
/offline/aula/<int:aula_id>/presencas,GET|POST,offline.aula_presencas,offline,1,0,2,1,OK_UI,manter
/offline/aula/<int:aula_id>/sumario,POST,offline.aula_sumario,offline,1,0,0,0,OK_UI,manter
/offline/errors,GET,offline.list_errors,offline,0,0,0,0,OK_UI,manter
/offline/errors/<int:error_id>,DELETE,offline.delete_error,offline,0,3,0,0,OK_API,manter
/offline/errors/clear,POST,offline.clear_errors,offline,0,2,0,0,OK_API,manter
/offline/health/db,GET,offline.healthcheck_db,offline,0,0,0,0,INTERNAL,documentar_interno
/offline/history,GET,offline.history_page,offline,3,0,0,0,OK_UI,manter
/offline/settings,GET|POST,offline.settings_page,offline,3,0,1,1,OK_UI,manter
/offline/snapshot,GET|POST,offline.snapshot_now,offline,2,0,0,0,OK_UI,manter
/offline/status,GET,offline.status_page,offline,2,0,0,0,OK_UI,manter
/offline/sync,GET|POST,offline.sync_page,offline,2,0,1,1,OK_UI,manter
/offline/turma/<int:turma_id>/aulas,GET,offline.turma_aulas,offline,2,0,0,0,OK_UI,manter
/offline/turmas,GET,offline.turmas,offline,0,0,1,1,INTERNAL,documentar_interno
/outras-datas/<int:aula_id>/observacoes,POST,outras_datas_observacoes_save,,1,0,0,0,OK_UI,manter
/static/<path:filename>,GET,static,,1,0,0,0,OK_UI,manter
/sync/flush,POST,sync_flush,,1,0,1,0,OK_UI,manter
/turmas,GET,turmas_list,,7,1,25,0,OK_UI,manter
/turmas/<int:turma_id>/alunos,GET|POST,turma_alunos,,2,0,21,0,OK_UI,manter
/turmas/<int:turma_id>/alunos/<int:aluno_id>/delete,POST,turma_alunos_delete,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/alunos/<int:aluno_id>/update,POST,turma_alunos_update,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/alunos/import,POST,turma_alunos_import,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/alunos/transfer,POST,turma_alunos_transfer,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/aulas/<int:aula_id>/previsao/copiar-anterior,POST,previsao_copiar_anterior,,6,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/aulas/<int:aula_id>/previsao/enviar-seguinte,POST,previsao_enviar_seguinte,,6,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/aulas/<int:aula_id>/previsao/limpar,POST,previsao_limpar,,6,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/backup/export,GET|POST,backup_export_turma,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/calendario,GET,turma_calendario,,13,0,22,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/<int:aula_id>/alunos,GET|POST,calendario_aula_alunos,,5,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/<int:aula_id>/delete,POST,calendario_delete,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/<int:aula_id>/edit,GET|POST,calendario_edit,,4,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/<int:aula_id>/sumario,POST,calendario_update_sumario,,5,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/add,GET|POST,calendario_add,,0,0,0,0,ORPHAN,avaliar_remocao_ou_documentacao
/turmas/<int:turma_id>/calendario/dia,GET,turma_calendario_dia,,10,0,4,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/gerar,POST,turma_calendario_gerar,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/reset,POST,turma_calendario_reset,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/calendario/simplificado,GET,turma_calendario_simplificado,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/clone,POST,turmas_clone,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/delete,POST,turmas_delete,,2,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/edit,GET|POST,turmas_edit,,4,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/grupos,GET|POST,turma_grupos_catalogo,,3,0,5,0,OK_UI,manter
/turmas/<int:turma_id>/grupos/<int:grupo_id>/delete,POST,turma_grupo_catalogo_delete,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/grupos/<int:grupo_id>/membros/<int:aluno_id>/remove,POST,turma_grupo_remove_membro,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/mapa-avaliacao-diaria,GET,turma_mapa_avaliacao_diaria,,3,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/mapa-avaliacao-diaria/export,GET,turma_mapa_avaliacao_diaria_export,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/sumarios/export/csv,POST,turma_sumarios_export_csv,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos,GET|POST,turma_trabalhos,,10,0,2,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>,GET,trabalho_detail,,3,0,12,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/delete,POST,trabalho_delete,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/edit,GET|POST,trabalho_edit,,3,0,3,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/entregas/<int:grupo_id>/save,POST,trabalho_save_entrega,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/grupos,POST,trabalho_add_grupo,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/grupos/<int:grupo_id>/membros/<int:aluno_id>/remove,POST,trabalho_remove_membro_grupo,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/importar-grupos,POST,trabalho_importar_grupos_turma,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/parametros,POST,trabalho_add_parametro,,1,0,0,0,OK_UI,manter
/turmas/<int:turma_id>/trabalhos/mapa,GET,turma_trabalhos_mapa,,2,0,0,0,OK_UI,manter
/turmas/add,GET|POST,turmas_add,,3,0,1,0,OK_UI,manter
/turmas/export/csv,POST,turmas_export_csv,,1,0,1,0,OK_UI,manter
/turmas/importar,GET|POST,turmas_importar,,1,0,1,0,OK_UI,manter
