rule,methods,endpoint,blueprint,defaults,arguments
/offline/snapshot,GET|POST,offline.snapshot_now,offline,{},
/offline/status,GET,offline.status_page,offline,{},
/offline/sync,GET|POST,offline.sync_page,offline,{},
/offline/turma/<int:turma_id>/aulas,GET,offline.turma_aulas,offline,{},turma_id
/offline/turmas,GET,offline.turmas,offline,{},
/outras-datas/<int:aula_id>/observacoes,POST,outras_datas_observacoes_save,,{},aula_id
/static/<path:filename>,GET,static,,{},filename
/sync/flush,POST,sync_flush,,{},
/turmas,GET,turmas_list,,{},
/turmas/<int:turma_id>/alunos,GET|POST,turma_alunos,,{},turma_id
/turmas/<int:turma_id>/alunos/<int:aluno_id>/delete,POST,turma_alunos_delete,,{},aluno_id|turma_id
/turmas/<int:turma_id>/alunos/<int:aluno_id>/update,POST,turma_alunos_update,,{},aluno_id|turma_id
/turmas/<int:turma_id>/alunos/import,POST,turma_alunos_import,,{},turma_id
/turmas/<int:turma_id>/alunos/transfer,POST,turma_alunos_transfer,,{},turma_id
/turmas/<int:turma_id>/aulas/<int:aula_id>/previsao/copiar-anterior,POST,previsao_copiar_anterior,,{},aula_id|turma_id
/turmas/<int:turma_id>/aulas/<int:aula_id>/previsao/enviar-seguinte,POST,previsao_enviar_seguinte,,{},aula_id|turma_id
/turmas/<int:turma_id>/aulas/<int:aula_id>/previsao/limpar,POST,previsao_limpar,,{},aula_id|turma_id
/turmas/<int:turma_id>/backup/export,GET|POST,backup_export_turma,,{},turma_id
/turmas/<int:turma_id>/calendario,GET,turma_calendario,,{},turma_id
/turmas/<int:turma_id>/calendario/<int:aula_id>/alunos,GET|POST,calendario_aula_alunos,,{},aula_id|turma_id
/turmas/<int:turma_id>/calendario/<int:aula_id>/delete,POST,calendario_delete,,{},aula_id|turma_id
/turmas/<int:turma_id>/calendario/<int:aula_id>/edit,GET|POST,calendario_edit,,{},aula_id|turma_id
/turmas/<int:turma_id>/calendario/<int:aula_id>/sumario,POST,calendario_update_sumario,,{},aula_id|turma_id
/turmas/<int:turma_id>/calendario/dia,GET,turma_calendario_dia,,{},turma_id
/turmas/<int:turma_id>/calendario/gerar,POST,turma_calendario_gerar,,{},turma_id
/turmas/<int:turma_id>/calendario/reset,POST,turma_calendario_reset,,{},turma_id
/turmas/<int:turma_id>/calendario/simplificado,GET,turma_calendario_simplificado,,{},turma_id
/turmas/<int:turma_id>/clone,POST,turmas_clone,,{},turma_id
/turmas/<int:turma_id>/delete,POST,turmas_delete,,{},turma_id
/turmas/<int:turma_id>/edit,GET|POST,turmas_edit,,{},turma_id
/turmas/<int:turma_id>/grupos,GET|POST,turma_grupos_catalogo,,{},turma_id
/turmas/<int:turma_id>/grupos/<int:grupo_id>/delete,POST,turma_grupo_catalogo_delete,,{},grupo_id|turma_id
/turmas/<int:turma_id>/grupos/<int:grupo_id>/membros/<int:aluno_id>/remove,POST,turma_grupo_remove_membro,,{},aluno_id|grupo_id|turma_id
/turmas/<int:turma_id>/mapa-avaliacao-diaria,GET,turma_mapa_avaliacao_diaria,,{},turma_id
/turmas/<int:turma_id>/mapa-avaliacao-diaria/export,GET,turma_mapa_avaliacao_diaria_export,,{},turma_id
/turmas/<int:turma_id>/sumarios/export/csv,POST,turma_sumarios_export_csv,,{},turma_id
/turmas/<int:turma_id>/trabalhos,GET|POST,turma_trabalhos,,{},turma_id
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>,GET,trabalho_detail,,{},trabalho_id|turma_id
